theory,variant,benchmark,recorded_status,benchmark_status,classification,runtime_seconds
QF_LRA,full,/tropical-matrix/constraint-556101.smt2,sat,unknown,metadata-unknown,16.06546139717102
QF_LRA,full,/tropical-matrix/constraint-413064.smt2,sat,unknown,metadata-unknown,513.4535684585571
QF_LRA,full,/tropical-matrix/constraint-343414.smt2,sat,unknown,metadata-unknown,152.29076528549194
QF_LRA,full,/tropical-matrix/constraint-1007893.smt2,sat,unknown,metadata-unknown,131.06573462486267
QF_LRA,full,/tropical-matrix/constraint-251380.smt2,sat,unknown,metadata-unknown,75.12684798240662
QF_LRA,full,/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,166.87927961349487
QF_LRA,full,/LassoRanker/SV-COMP/BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,unknown,metadata-unknown,14.116525411605835
QF_LRA,full,/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,unknown,metadata-unknown,168.34264039993286
QF_LRA,full,/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,42.574986934661865
QF_LRA,full,/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,sat,unknown,metadata-unknown,66.0656373500824
QF_LRA,full,/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,24.53600311279297
QF_LRA,full,/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_4-pieceTemplate.smt2,sat,unknown,metadata-unknown,69.45848369598389
QF_LRA,full,/2019-ezsmt/routingMax/SCC_strong/p50.56.smt2,sat,unknown,metadata-unknown,3.3042502403259277
QF_LRA,full,/2019-ezsmt/robotics/1_4.smt2,unsat,unknown,metadata-unknown,0.12497496604919434
QF_LRA,full,/2019-ezsmt/robotics/2_4.smt2,unsat,unknown,metadata-unknown,0.1229391098022461
