theory,variant,comparison_scope,direction,benchmark,full_status,variant_status,full_runtime_seconds,variant_runtime_seconds
QF_LRA,no_bicp,complete-full-list,full-only,/LassoRanker/Ultimate/bound-scaled400.bpl_Iteration1_Loop_7-phaseTemplate.smt2,sat,timeout,914.2263276576996,1200.0008163452148
QF_LRA,no_bicp,complete-full-list,full-only,/miplib/danoint-66.smt2,sat,timeout,92.29420113563538,1200.0013890266418
QF_LRA,no_bicp,complete-full-list,full-only,/tropical-matrix/constraint-413064.smt2,sat,timeout,513.4535684585571,1200.0007224082947
QF_LRA,no_clause_reduction,complete-full-list,full-only,/LassoRanker/Ultimate/bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate.smt2,sat,timeout,779.3257956504822,1200.0008397102356
QF_LRA,no_clause_reduction,complete-full-list,full-only,/LassoRanker/Ultimate/bound-scaled400.bpl_Iteration1_Loop_7-phaseTemplate.smt2,sat,timeout,914.2263276576996,1200.0007424354553
QF_LRA,no_clause_reduction,complete-full-list,ablated-only,/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2,timeout,sat,1200.0007271766663,317.7291793823242
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__002.smt2.slack.smt2,sat,timeout,60.83682870864868,1200.018081665039
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__004.smt2.slack.smt2,sat,timeout,884.4314339160919,1200.005689382553
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__002.smt2.slack.smt2,sat,timeout,1181.0068681240082,1200.0036907196045
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-50/c50_problem__003.smt2.slack.smt2,sat,timeout,2.662034273147583,1200.0162274837494
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__003.smt2.slack.smt2,sat,timeout,72.09614515304565,1200.0045342445374
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__002.smt2.slack.smt2,sat,timeout,275.2035641670227,1200.01700091362
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__003.smt2.slack.smt2,sat,timeout,1000.7713949680328,1200.0091977119446
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__004.smt2.slack.smt2,sat,timeout,322.97906589508057,1200.026807308197
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem_2__020.smt2.slack.smt2,sat,timeout,0.1882174015045166,1200.0081326961517
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__020.smt2.slack.smt2,sat,timeout,152.07039260864258,1200.0081877708435
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__023.smt2.slack.smt2,sat,timeout,271.84071707725525,1200.0086407661438
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__033.smt2.slack.smt2,sat,timeout,476.74347829818726,1200.031646490097
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__034.smt2.slack.smt2,sat,timeout,850.563225030899,1200.0102384090424
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__035.smt2.slack.smt2,sat,timeout,883.7782714366913,1200.0157918930054
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem__019.smt2.slack.smt2,sat,timeout,369.89500308036804,1200.0006668567657
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem__027.smt2.slack.smt2,sat,timeout,980.7863459587097,1200.018786430359
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem__031.smt2.slack.smt2,sat,timeout,247.98148798942566,1200.0015361309052
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem__035.smt2.slack.smt2,sat,timeout,621.1598649024963,1200.0132830142975
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__016.smt2.slack.smt2,sat,timeout,928.806033372879,1200.005066871643
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__017.smt2.slack.smt2,sat,timeout,173.90335702896118,1200.0309760570526
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__018.smt2.slack.smt2,sat,timeout,246.78103065490723,1200.0204157829285
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__020.smt2.slack.smt2,sat,timeout,741.176992893219,1200.019816160202
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__022.smt2.slack.smt2,sat,timeout,508.9043061733246,1200.0122029781342
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__023.smt2.slack.smt2,sat,timeout,934.5098369121552,1200.01433467865
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__024.smt2.slack.smt2,sat,timeout,626.6817593574524,1200.0161442756653
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__025.smt2.slack.smt2,sat,timeout,831.9417953491211,1200.0191490650177
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__026.smt2.slack.smt2,sat,timeout,645.2166335582733,1200.0007297992706
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__027.smt2.slack.smt2,sat,timeout,865.5467789173126,1200.0221107006073
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__030.smt2.slack.smt2,sat,timeout,898.2291159629822,1200.0139029026031
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__014.smt2.slack.smt2,sat,timeout,831.5486531257629,1200.0063123703003
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__017.smt2.slack.smt2,sat,timeout,397.0218725204468,1200.0006878376007
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__018.smt2.slack.smt2,sat,timeout,1020.1284418106079,1200.0077006816864
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__021.smt2.slack.smt2,sat,timeout,283.705393075943,1200.0237147808075
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__024.smt2.slack.smt2,sat,timeout,1159.1336734294891,1200.0240333080292
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__025.smt2.slack.smt2,sat,timeout,220.08909583091736,1200.0080063343048
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem__026.smt2.slack.smt2,sat,timeout,961.1815845966339,1200.0007145404816
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__006.smt2.slack.smt2,sat,timeout,746.9676835536957,1200.007523059845
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__012.smt2.slack.smt2,sat,timeout,236.88394570350647,1200.0156898498535
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__014.smt2.slack.smt2,sat,timeout,380.55859375,1200.0216691493988
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__018.smt2.slack.smt2,sat,timeout,735.6513974666595,1200.0063724517822
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__020.smt2.slack.smt2,sat,timeout,640.0603485107422,1200.0155313014984
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__011.smt2.slack.smt2,sat,timeout,1074.7528457641602,1200.01371717453
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__012.smt2.slack.smt2,sat,timeout,727.1935613155365,1200.0206365585327
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__015.smt2.slack.smt2,sat,timeout,834.616174697876,1200.0218741893768
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__020.smt2.slack.smt2,sat,timeout,748.886129617691,1200.0230848789215
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__010.smt2.slack.smt2,sat,timeout,1049.593569278717,1200.0014252662659
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__014.smt2.slack.smt2,sat,timeout,0.24958157539367676,1200.0229976177216
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__017.smt2.slack.smt2,sat,timeout,216.52544021606445,1200.0007333755493
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__007.smt2.slack.smt2,sat,timeout,361.3271133899689,1200.0139083862305
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__014.smt2.slack.smt2,sat,timeout,1067.0425724983215,1200.0145287513733
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__015.smt2.slack.smt2,sat,timeout,0.16688203811645508,1200.0125851631165
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage12.smt2,sat,timeout,915.0144293308258,1200.0069966316223
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage15.smt2,sat,timeout,244.33376669883728,1200.0005593299866
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage2.smt2,sat,timeout,689.908627986908,1200.01549243927
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage22.smt2,sat,timeout,391.88641595840454,1200.017086982727
QF_LIA,no_bicp,complete-full-list,full-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage23.smt2,sat,timeout,758.2871751785278,1200.021077632904
QF_LIA,no_bicp,complete-full-list,ablated-only,/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage3.smt2,timeout,sat,1200.0013365745544,777.2514822483063
QF_LIA,no_bicp,complete-full-list,full-only,/2019-cmodelsdiff/labyrinth/0159-labyrinth-20-0.smt2,sat,timeout,110.8872320652008,1200.0008671283722
