theory,variant,status,count
QF_LRA,full,sat,1022
QF_LRA,full,timeout,30
QF_LRA,full,unsat,701
QF_LRA,no_bicp,sat,1019
QF_LRA,no_bicp,timeout,33
QF_LRA,no_bicp,unsat,701
QF_LRA,no_clause_reduction,sat,1021
QF_LRA,no_clause_reduction,timeout,31
QF_LRA,no_clause_reduction,unsat,701
QF_LIA,full,sat,8190
QF_LIA,full,timeout,345
QF_LIA,full,unsat,4691
QF_LIA,no_bicp,sat,7879
QF_LIA,no_bicp,timeout,736
QF_LIA,no_bicp,unsat,4604
QF_LIA,no_bicp,wrapper-timeout,7
QF_LIA,no_clause_reduction,sat,7937
QF_LIA,no_clause_reduction,timeout,653
QF_LIA,no_clause_reduction,unsat,4617
QF_LIA,no_clause_reduction,wrapper-timeout,19
QF_NIA,full,Coordinator-Error,3
QF_NIA,full,sat,14142
QF_NIA,full,timeout,4568
QF_NIA,full,unsat,6645
QF_NIA,no_bicp,Coordinator-Error,3
QF_NIA,no_bicp,sat,13886
QF_NIA,no_bicp,timeout,4973
QF_NIA,no_bicp,unsat,6496
QF_NIA,no_clause_reduction,Coordinator-Error,3
QF_NIA,no_clause_reduction,sat,13979
QF_NIA,no_clause_reduction,timeout,4835
QF_NIA,no_clause_reduction,unsat,6541
QF_NRA,full,sat,5670
QF_NRA,full,timeout,593
QF_NRA,full,unsat,5871
QF_NRA,no_bicp,sat,5611
QF_NRA,no_bicp,timeout,686
QF_NRA,no_bicp,unsat,5837
QF_NRA,no_clause_reduction,sat,5667
QF_NRA,no_clause_reduction,timeout,601
QF_NRA,no_clause_reduction,unsat,5866
