theory,benchmark_list,variant,run_tag,sat,unsat,solved,failed,PAR-2,conflicts,complete,timeout_seconds,cores,benchmark_count,launcher_sha256,partitioner_sha256,required_partitioner_sha256
QF_LRA,QF_LRA-1753,full,fmsd-full1200-p8-qf_lra-full,1022,701,1723,30,98686,0,true,1200,8,1753,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_LRA,QF_LRA-1753,no_bicp,fmsd-full1200-p8-qf_lra-no_bicp,1019,701,1720,33,109876,0,true,1200,8,1753,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_LRA,QF_LRA-1753,no_clause_reduction,fmsd-full1200-p8-qf_lra-no_clause_reduction,1021,701,1722,31,100619,0,true,1200,8,1753,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_LIA,QF_LIA-13226,full,fmsd-full1200-p8-qf_lia-full,8190,4691,12881,345,1432372,0,true,1200,8,13226,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_LIA,QF_LIA-13226,no_bicp,fmsd-full1200-p8-qf_lia-no_bicp,7879,4604,12483,743,2542383,0,true,1200,8,13226,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_LIA,QF_LIA-13226,no_clause_reduction,fmsd-full1200-p8-qf_lia-no_clause_reduction,7937,4617,12554,672,2338220,0,true,1200,8,13226,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NIA,QF_NIA-25358,full,fmsd-full1200-p8-qf_nia-full,14142,6645,20787,4571,11544246,0,true,1200,8,25358,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NIA,QF_NIA-25358,no_bicp,fmsd-full1200-p8-qf_nia-no_bicp,13886,6496,20382,4976,12690780,0,true,1200,8,25358,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NIA,QF_NIA-25358,no_clause_reduction,fmsd-full1200-p8-qf_nia-no_clause_reduction,13979,6541,20520,4838,12320757,0,true,1200,8,25358,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NRA,QF_NRA-12134,full,fmsd-full1200-p8-qf_nra-full,5670,5871,11541,593,1496897,0,true,1200,8,12134,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NRA,QF_NRA-12134,no_bicp,fmsd-full1200-p8-qf_nra-no_bicp,5611,5837,11448,686,1724833,0,true,1200,8,12134,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
QF_NRA,QF_NRA-12134,no_clause_reduction,fmsd-full1200-p8-qf_nra-no_clause_reduction,5667,5866,11533,601,1513858,0,true,1200,8,12134,26a7f57c66f6361a60a78048abb55c3eb436675094f4115684905dee2a6e3443,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7,17f871c5afb70bdbfced171c2d1c5983f33557f7010709eae1ecd761594320f7
